"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","YQ4gaf src","gqguwf","gqguwf 2"
"פפריקה מוסיקה","· תקליטן","4.9","(52)","מעל 10 שנות פעילות · חיפה ·","1-800-335-111","","http://www.paprikamusica.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","פפריקה מוסיקה","4.9","(52)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""משאירים אבק למתחרים:)""",""
"ענק הסאונד","· חנות לכלי נגינה","4.3","(36)","077-930-0621","ירושלים ·","פתוח ⋅ ייסגר בשעה 19:00","http://sound-systems.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","ענק הסאונד","4.3","(36)","","",""
"דיג'יי שני אשל DJ Shani Eshel","· תקליטן","5.0","(18)","054-794-0429","ברוכין ·","פתוח ⋅ ייסגר בשעה 22:00","https://dj-shani-eshel.business.site/?utm_source=gmb&utm_medium=referral","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","דיג'יי שני אשל DJ Shani Eshel","5.0","(18)","","",""
"די ג'יי עדינה עוזרי ADI.J","· תקליטן","4.9","(18)","052-465-3798","שדרות ·","","https://adij.business.site/?utm_source=gmb&utm_medium=referral","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","די ג'יי עדינה עוזרי ADI.J","4.9","(18)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""היה מצוין... הרימה  נפלא במקצועיות וברוגע...""","אירוע"
"ישראלי'ק בש - קלידן אירועים ואולפן הקלטות","· אולפן הקלטות","5.0","(24)","058-669-7701","ברקת ·","פתוח 24 שעות","https://www.isrolikbash.band/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","ישראלי'ק בש - קלידן אירועים ואולפן הקלטות","5.0","(24)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""סבלן, אדיב ומחירים הוגנים ביותר.""",""
"מוסיקה פלוס","· תקליטן","4.6","(34)","077-601-8521","מעל 5 שנות פעילות · תל אביב-יפו ·","פתוח ⋅ ייסגר בשעה 18:00","http://www.musicaplus.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","מוסיקה פלוס","4.6","(34)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אנשים מדהימים אווירה פצצה והאירוע היה פשוט מושלם""",""
"די ג׳י סלע ליבמן","· תקליטן","5.0","(2)","050-334-3319","טבריה ·","","https://djsela.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","די ג׳י סלע ליבמן","5.0","(2)","","",""
"DJ San Atias - דיג׳יי סן אטיאס","אין ביקורות · תקליטן","","","052-754-0360","מעל 10 שנות פעילות · תל אביב-יפו ·","פתוח 24 שעות","https://www.sanatias.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","DJ San Atias - דיג׳יי סן אטיאס","","","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","שירותי אודיו/וידאו לאירועים מיוחדים"
"רועי ברכה - TOCA Music","· תקליטן","5.0","(1)","050-851-2112","ראשון לציון ·","פתוח 24 שעות","https://tocadjs-music.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","רועי ברכה - TOCA Music","5.0","(1)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","Dj לחתונה"
"לירן בר זמר d.j נגן בוזוקי לכל אירוע","· מתכנן אירועים","5.0","(1)","054-731-2002","פתוח ⋅ ייסגר בשעה 22:30","","https://www.facebook.com/%D7%9C%D7%99%D7%A8%D7%9F-%D7%91%D7%A8-248908668595073","אתר","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""זמר,מקצועי,אמין וישר,ממליצה בחום,חוויה בלתי נשכחת""",""
"אסי סי","· תקליטן","5.0","(85)","054-211-1131","פתוח 24 שעות","","https://www.asicmusic.com/","אתר","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""מצאנו את הDJ שלנו  בפחות מ5 דקות.""","לאירוע"
"אלפסאונד השכרת ציוד לאירועים ושירותי DJ","· שירות השכרת ציוד למסיבות","5.0","(4)","055-668-4758","כרמי קטיף ·","פתוח 24 שעות","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","אלפסאונד השכרת ציוד לאירועים ושירותי DJ","5.0","(4)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""הגברה איכותית, שירות מדהים""",""
"יניב פרחי cuedjs Group","· תקליטן","5.0","(1)","054-548-4669","מעל 3 שנות פעילות · ראשון לציון ·","פתוח ⋅ ייסגר בשעה 22:00","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","יניב פרחי cuedjs Group","5.0","(1)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אדם יקר, מקצועי, אמין, וחייכן, לא תתאכזבו!!!""",""
"ניב בצלאלי - השכרת ציוד לאירועים בירושלים","· חנות לציוד מסיבות","5.0","(11)","050-533-1568","מבשרת ציון ·","פתוח ⋅ ייסגר בשעה 0:00","http://www.levels.co.il/#!rents/c1ezx","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","ניב בצלאלי - השכרת ציוד לאירועים בירושלים","5.0","(11)","","",""
"Dj Saark - סער קוג׳מן","· תקליטן","5.0","(3)","054-675-9867","פתוח 24 שעות","","http://djsaark.co.il/","אתר","","","","","","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","Event lighting services"
"דיג׳יי אוהד פארן | DJ Ohad Paran","· תקליטן","5.0","(39)","050-657-0348","פתוח 24 שעות","","https://63b1ec4377302.site123.me/","אתר","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""DJ ברמה הכי גבוהה ומקצוען בכל דבר""",""
"ARTMUSICA","· מתכנן אירועים","5.0","(17)","050-450-3943","מעל 10 שנות פעילות · אלפי מנשה ·","פתוח 24 שעות","https://artmusic.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","ARTMUSICA","5.0","(17)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","Dj - שירותי מוזיקה ומסיבות"
"Swis Music Group יורם סוויסה","· תקליטן","3.7","(3)","052-779-9664","מעל 3 שנות פעילות ·","פתוח 24 שעות","https://swis-music-group.business.site/","אתר","","","","","","","",""
"להקת טוקסידוס - להקה לחתונה","אין ביקורות · תקליטן","","","054-713-3953","פתוח 24 שעות","","https://www.tuxedos-band.com/","אתר","","","","","","","",""
"Jerusalem Media Group","· שירות הפקת וידאו","4.4","(9)","074-701-2010","מעל 10 שנות פעילות · ירושלים ·","פתוח ⋅ ייסגר בשעה 17:00","http://www.jerusalemmediagroup.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","Jerusalem Media Group","4.4","(9)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","הפקות וידאו לאירועים"
"נדב סגל - מנחה אירועים, שחקן ומוזיקאי, | הנחיית אירועים וכנסים, מופעים ותוכן.","· אמן","5.0","(15)","פתח תקווה ·","052-386-9995","פתוח 24 שעות","https://nadavsegal.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","נדב סגל - מנחה אירועים, שחקן ומוזיקאי, | הנחיית אירועים וכנסים, מופעים ותוכן.","5.0","(15)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","מנחה לאירועים"
"די ג'יי שמואל לוי / לציבור הדתי/חרדי/dj","· תקליטן","5.0","(17)","054-922-9052","פתוח ⋅ ייסגר בשעה 0:00","","","","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""" ברמה גבוהה מאוד, הקפיץ את הקהל היה  שלא ישכח 💥
תודה שמואל ❤️""","אירוע"
"ספליט סאונד - השכרת שירות וציוד לאירועים","· שירות השכרת ציוד למסיבות","5.0","(1)","050-895-5584","פתוח 24 שעות","","https://matan100ts.wixsite.com/splitpro","אתר","","","","","","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","Touring DJ services"
"פרץ גלס - DJ Glass Vegas","·","5.0","(53)","Musician","פתוח 24 שעות","052-544-6859","http://djglassvegas.com/","אתר","","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""החוויה עם פרץ הייתה מושלמת מהפגישה הראשונה ועד  עצמו.""","לאירוע"
"ארטיקה | artika","· מתכנן אירועים","4.7","(30)","09-744-5525","מעל 10 שנות פעילות · הוד השרון ·","פתוח ⋅ ייסגר בשעה 23:00","http://www.artika.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","ארטיקה | artika","4.7","(30)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""חברה מקצועית שרות ברמה גבוה אנשים אדיבים מאוד""",""
"אלוני בלוני | מופע בלונים | די גי לילדים | הפעלה לברית | יום הולדת בלונים","· אמן","4.7","(16)","","ירושלים","פתוח ⋅ ייסגר בשעה 0:00","http://www.baloni.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","אלוני בלוני | מופע בלונים | די גי לילדים | הפעלה לברית | יום הולדת בלונים","4.7","(16)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""עשה  יפה לילדים ביום הולדת משולב הופעה ובלונים.""","אירוע"
"הדריה - אולם וגן אירועים","· אולם אירועים","4.3","()","02-673-2255","ירושלים ·","פתוח ⋅ ייסגר בשעה 0:00","https://www.facebook.com/%D7%94%D7%93%D7%A8%D7%99%D7%94-711943565607734/timeline","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","הדריה - אולם וגן אירועים","4.3","(1177)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אירוע ברמה גבוהה אהוד על הקהל הדתי""",""
